scan_time分析报告 - baseus-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
618	20:10:06.268	12150		150.0
619	20:10:06.286	12300		150.0
620	20:10:06.301	12450		150.0
621	20:10:06.316	12600		150.0
622	20:10:06.331	12750		150.0
623	20:10:06.346	12900		150.0
624	20:10:06.361	13050		150.0
625	20:10:06.376	13200		150.0
626	20:10:06.406	13350		150.0
627	20:10:06.421	13500		150.0
628	20:10:06.435	13650		150.0
629	20:10:06.451	13800		150.0
630	20:10:06.466	13950		150.0
631	20:10:06.481	14100		150.0
632	20:10:06.496	14250		150.0
633	20:10:06.511	14400		150.0
634	20:10:06.526	14550		150.0
635	20:10:06.539	14700		150.0
636	20:10:06.556	14850		150.0
637	20:10:06.586	15000		150.0
638	20:10:06.601	15150		150.0
639	20:10:06.616	15300		150.0
640	20:10:06.631	15450		150.0
641	20:10:06.645	15600		150.0
642	20:10:06.661	15750		150.0
643	20:10:06.676	15900		150.0
644	20:10:06.691	16050		150.0
645	20:10:06.706	16200		150.0
646	20:10:06.749	16350		150.0
647	20:10:06.766	16500		150.0
648	20:10:06.781	16650		150.0
649	20:10:06.796	16800		150.0
650	20:10:06.811	16950		150.0
651	20:10:06.826	17100		150.0
652	20:10:06.841	17250		150.0
653	20:10:06.856	17400		150.0
654	20:10:06.871	17550		150.0
655	20:10:06.886	17700		150.0
656	20:10:06.901	17850		150.0
657	20:10:06.916	18000		150.0
658	20:10:06.931	18150		150.0
659	20:10:06.946	18300		150.0
660	20:10:06.976	18450		150.0
661	20:10:06.991	18600		150.0
662	20:10:07.006	18750		150.0
663	20:10:07.021	18900		150.0
664	20:10:07.036	19050		150.0
665	20:10:07.050	19200		150.0
666	20:10:07.066	19350		150.0
667	20:10:07.081	19500		150.0
668	20:10:07.096	19650		150.0
669	20:10:07.139	19800		150.0
670	20:10:07.154	19950		150.0
671	20:10:07.171	0		150.0
672	20:10:07.186	150		150.0
673	20:10:07.201	300		150.0
674	20:10:07.216	450		150.0
675	20:10:07.231	600		150.0
676	20:10:07.246	750		150.0
677	20:10:07.260	900		150.0
678	20:10:07.276	1050		150.0
679	20:10:07.291	1200		150.0
680	20:10:07.306	1350		150.0
681	20:10:07.321	1500		150.0
682	20:10:07.335	1650		150.0
683	20:10:07.351	1800		150.0
684	20:10:07.366	1950		150.0
685	20:10:07.381	2100		150.0
686	20:10:07.396	2250		150.0
687	20:10:07.411	2400		150.0
688	20:10:07.441	2550		150.0
689	20:10:07.456	2700		150.0
690	20:10:07.470	2850		150.0
691	20:10:07.486	3000		150.0
692	20:10:07.500	3150		150.0
693	20:10:07.516	3300		150.0
694	20:10:07.546	3450		150.0
695	20:10:07.561	3600		150.0
696	20:10:07.574	3750		150.0
697	20:10:07.591	3900		150.0
698	20:10:07.606	4050		150.0
699	20:10:07.621	4200		150.0
700	20:10:07.636	4350		150.0
701	20:10:07.651	4500		150.0
702	20:10:07.664	4650		150.0
703	20:10:07.681	4800		150.0
704	20:10:07.696	4950		150.0
705	20:10:07.711	5100		150.0
706	20:10:07.726	5250		150.0
707	20:10:07.756	5400		150.0
708	20:10:07.769	5550		150.0
709	20:10:07.786	5700		150.0
710	20:10:07.801	5850		150.0
