scan_time分析报告 - baseus-主板固定60Hz发送3.txt
==================================================

基本统计信息:
  总数据包数: 1504
  有效scan_time数: 1504
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 159.68
  递增值标准差: 407.54
  最小递增值: 0
  最大递增值: 15950

重置分析:
  检测到重置次数: 12
  重置点位置: [29, 163, 297, 431, 565, 699, 833, 967, 1101, 1235]...
  平均重置间隔: 115.7 包/次

一致性评估:
  一致性评分: 0.002 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
528	20:14:27.524	14400		150.0
529	20:14:27.539	14550		150.0
530	20:14:27.554	14700		150.0
531	20:14:27.568	14850		150.0
532	20:14:27.584	15000		150.0
533	20:14:27.599	15150		150.0
534	20:14:27.614	15300		150.0
535	20:14:27.629	15450		150.0
536	20:14:27.657	15600		150.0
537	20:14:27.674	15750		150.0
538	20:14:27.689	15900		150.0
539	20:14:27.704	16050		150.0
540	20:14:27.719	16200		150.0
541	20:14:27.734	16350		150.0
542	20:14:27.749	16500		150.0
543	20:14:27.762	16650		150.0
544	20:14:27.779	16800		150.0
545	20:14:27.809	16950		150.0
546	20:14:27.839	17100		150.0
547	20:14:27.854	17250		150.0
548	20:14:27.868	17400		150.0
549	20:14:27.884	17550		150.0
550	20:14:27.899	17700		150.0
551	20:14:27.914	17850		150.0
552	20:14:27.929	18000		150.0
553	20:14:27.944	18150		150.0
554	20:14:27.959	18300		150.0
555	20:14:27.974	18450		150.0
556	20:14:27.989	18600		150.0
557	20:14:28.004	18750		150.0
558	20:14:28.019	18900		150.0
559	20:14:28.034	19050		150.0
560	20:14:28.050	19200		150.0
561	20:14:28.064	19350		150.0
562	20:14:28.079	19500		150.0
563	20:14:28.094	19650		150.0
564	20:14:28.124	19800		150.0
565	20:14:28.139	19950		150.0
566	20:14:28.154	0		50.0
567	20:14:28.169	150		150.0
568	20:14:28.197	300		150.0
569	20:14:28.214	450		150.0
570	20:14:28.244	600		150.0
571	20:14:28.259	750		150.0
